OBJECT_TYPE;TABLE_CATALOG;TABLE_SCHEMA;OBJECT_NAME;DATA_AREA;OBJECT_TYPE;DESCRIPTION;BUSINESS_OWNER_PERSON;BUSINESS_OWNER_DEPARTMENT;DATA_SME;ACTIVE_FLAG;SQL_SAMPLES
TABLE;MO;dbo;L0002_08_EJENDOM_PATRIZIA_SHARES;GENNEMLYSNING;WORK;Gennemlysningsdata fra Patrizia gemmes i denne tabel. Kilde Excel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_20_BISTANDSFONDE;GENNEMLYSNING;WORK;Udbetalt beløb fra biastandsfonde udstilles i denne tabel. Anvendes til bestyrelsesrammer;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_20_BISTANDSFONDE_OLD;GENNEMLYSNING;OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_21_MARKEDSRENTE_AFKAST;GENNEMLYSNING;;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_21_MARKEDSRENTE_ALLOKERING;GENNEMLYSNING;;SKAL UDSØGES NÆRMERE;;;;1;
VIEW;MO;dbo;L0002_21_MARKEDSRENTE_ALLOKERING_V;GENNEMLYSNING;;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_21_MARKEDSRENTE_ANDELE;GENNEMLYSNING;WORK;;;;;1;
VIEW;MO;dbo;L0002_21_MARKEDSRENTE_ANDELE_V;GENNEMLYSNING;WORK;;;;;1;
TABLE;MO;dbo;L0002_21_MARKEDSRENTE_EKSPONERING;GENNEMLYSNING;WORK;;;;;1;
TABLE;MO;dbo;L0002_EIOPA_RENTEKURVE_FINANSTILSYNET;GENNEMLYSNING;WORK;Tabel der udstiller rentekurver fra finanstilsynets hjemmeside;;;;1;
VIEW;MO;dbo;L0002_GENNEMLYSNING_UNDERLIGGENDE_V;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
VIEW;MO;dbo;L0002_GENNEMLYSNING_V;GENNEMLYSNING;Måske OLD;SKAL UDSØGES NÆRMERE;;;;1;
TABLE;MO;dbo;L0002_IIP_CAPITAL_CALL;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;0;
TABLE;MO;dbo;L0002_IIP_COMMITMENTS_LEVEL1;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_IIP_COMMITMENTS_LEVEL2;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_IIP_DETAILED_DATA;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
VIEW;MO;dbo;L0002_IIP_DETAILED_DATA_LATEST_V;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_IIP_KRONER_FOLSOMHED;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_IIP_MD_INVESTMENT;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
VIEW;MO;dbo;L0002_IIP_MD_INVESTMENT_LATEST_V;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_IIP_MD_PROGRAM;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_IIP_MSCI_INDEX_MAPPING;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
TABLE;MO;dbo;L0002_IIP_NAV;GENNEMLYSNING;WORK;Data fra SMTP placeret i denne tabel;SUSANNE;DVR;CLAUS;1;
VIEW;MO;dbo;L0002_IIP_NAV_BASE_LATEST_V;GENNEMLYSNING;PRESENTATION;Udstilling af IIP NAV værdier i BASE /Reporting currency;SUSANNE;DVR;CLAUS;1;
